Date,Open,High,Low,Close,Volume,Currency,Ticker
2021-12-22,249.0900,251.2900,249.0719,251.2900,543226,USD,VO
2021-12-21,245.9100,249.4800,245.6700,249.4800,803915,USD,VO
2021-12-20,243.4200,243.8800,241.2300,243.6400,1275708,USD,VO
2021-12-17,247.0100,249.5250,244.7600,247.1200,995579,USD,VO
2021-12-16,251.2800,251.8000,246.5000,247.7000,812279,USD,VO
2021-12-15,246.6900,250.2300,244.7723,250.2300,828393,USD,VO
2021-12-14,247.2300,248.4800,245.0629,246.4300,1802865,USD,VO
2021-12-13,250.7700,250.8100,248.1600,249.1200,1307839,USD,VO
2021-12-10,251.8400,252.2871,249.1700,250.9900,559063,USD,VO
2021-12-09,252.9200,253.5600,250.2100,250.2100,526380,USD,VO
2021-12-08,252.7300,254.3300,251.6500,253.9800,653926,USD,VO
2021-12-07,250.0000,253.0880,249.8600,252.0900,628958,USD,VO
2021-12-06,245.3200,247.8500,243.2800,246.4000,686804,USD,VO
2021-12-03,248.2200,248.5500,241.7500,243.8900,1391858,USD,VO
2021-12-02,242.1200,247.8284,241.6800,246.9100,2242789,USD,VO
2021-12-01,249.4600,250.2500,240.8400,240.9200,1440239,USD,VO
2021-11-30,251.5900,251.8200,245.8800,246.0600,1760810,USD,VO
2021-11-29,253.2900,254.2400,250.6800,252.8100,637310,USD,VO
2021-11-26,251.6900,252.9900,249.6500,250.4800,862562,USD,VO
2021-11-24,254.1100,256.5700,253.2800,256.4600,543947,USD,VO
2021-11-23,254.8700,256.2494,252.4000,255.1900,3027108,USD,VO
2021-11-22,257.7200,258.1400,254.9000,255.0500,572686,USD,VO
2021-11-19,257.9800,258.2600,256.5950,256.8600,1115263,USD,VO
2021-11-18,259.6700,259.9800,256.7772,257.9000,429605,USD,VO
2021-11-17,260.6500,260.6500,258.4000,259.2100,562186,USD,VO
2021-11-16,259.3600,261.5300,259.1100,261.2000,371151,USD,VO
2021-11-15,259.7300,259.7700,258.6400,259.1800,385285,USD,VO
2021-11-12,257.8700,259.0700,257.0600,258.9400,413078,USD,VO
2021-11-11,257.0900,257.4300,256.3840,257.0600,323677,USD,VO
2021-11-10,258.1100,259.1800,255.0400,255.8600,535475,USD,VO
2021-11-09,258.7800,259.3600,257.4905,259.0600,678051,USD,VO
2021-11-08,258.7200,259.0100,257.7700,258.7100,645763,USD,VO
2021-11-05,258.1000,258.8000,256.1200,257.2000,534785,USD,VO
2021-11-04,256.3200,257.2700,255.3900,256.0200,564514,USD,VO
2021-11-03,254.3000,256.0100,253.7500,255.8100,805921,USD,VO
2021-11-02,254.7800,254.7800,253.6810,254.7100,610017,USD,VO
2021-11-01,253.3900,254.1900,252.4800,254.1100,604986,USD,VO
2021-10-29,251.3100,252.8600,251.3100,252.3600,582303,USD,VO
2021-10-28,249.6500,252.2500,249.2100,252.2500,471241,USD,VO
2021-10-27,252.3500,252.8838,248.9500,249.0200,538477,USD,VO
2021-10-26,254.1400,254.2795,252.2672,252.4700,470638,USD,VO
2021-10-25,253.0600,254.1550,252.1200,253.3500,448813,USD,VO
2021-10-22,252.5300,253.7200,251.4400,252.6700,554226,USD,VO
2021-10-21,250.8200,252.3400,250.6558,252.3400,580171,USD,VO
2021-10-20,250.1300,251.6700,250.0800,251.3300,812410,USD,VO
2021-10-19,249.5000,250.1600,248.8000,249.7300,639329,USD,VO
2021-10-18,246.4600,248.5100,246.2400,248.4700,511092,USD,VO
2021-10-15,248.2600,248.7400,247.2100,247.5300,431404,USD,VO
2021-10-14,244.8200,246.9600,244.8100,246.8600,572091,USD,VO
2021-10-13,241.8100,243.2400,240.3400,242.8000,679648,USD,VO
2021-10-12,240.6400,242.3600,240.1900,241.2300,606155,USD,VO
2021-10-11,241.3400,243.0600,240.0600,240.0600,331848,USD,VO
2021-10-08,242.7900,243.0800,241.2400,241.4300,551805,USD,VO
2021-10-07,241.6600,244.1252,241.6600,242.3300,666010,USD,VO
2021-10-06,236.9900,240.0800,235.7600,240.0800,2080912,USD,VO
2021-10-05,237.9000,240.2800,237.1800,239.0100,840608,USD,VO
2021-10-04,239.1200,239.3700,235.6700,236.9800,1510798,USD,VO
2021-10-01,237.9900,240.8100,235.8000,239.7600,799102,USD,VO
2021-09-30,240.2700,240.5500,236.7200,236.7600,954689,USD,VO
2021-09-29,240.4700,241.1100,239.1400,239.4200,616753,USD,VO
2021-09-28,242.8200,243.3800,239.0000,239.3100,1368852,USD,VO
2021-09-27,244.8500,245.4900,244.0100,244.2700,468099,USD,VO
2021-09-24,243.9900,245.2400,243.4800,244.8000,445692,USD,VO
2021-09-23,243.5800,246.6300,243.5600,245.4700,694751,USD,VO
2021-09-22,241.1700,243.6100,240.8500,242.6000,707989,USD,VO
2021-09-21,241.1700,241.6265,238.8600,239.5800,654505,USD,VO
2021-09-20,239.8600,240.6852,236.7200,239.6800,1184887,USD,VO
2021-09-17,245.1800,245.6100,243.1800,243.6500,1006266,USD,VO
2021-09-16,245.2200,246.4100,244.1500,245.7000,629182,USD,VO
2021-09-15,243.6500,245.6100,242.7100,245.3800,1030097,USD,VO
2021-09-14,245.5400,245.9000,242.8900,243.3200,632280,USD,VO
2021-09-13,246.1700,246.4550,243.7900,244.9600,1099161,USD,VO
2021-09-10,247.6300,247.6300,244.7000,244.7700,807227,USD,VO
2021-09-09,246.3400,247.9400,246.0250,246.2600,630796,USD,VO
2021-09-08,246.6900,247.3300,245.4100,246.5500,580966,USD,VO
2021-09-07,249.0900,249.3600,247.0000,247.1900,582529,USD,VO
2021-09-03,249.4500,249.7676,249.0000,249.4300,410469,USD,VO
2021-09-02,248.7600,249.8500,248.7600,249.8000,564386,USD,VO
2021-09-01,248.2700,248.6651,246.8600,248.2600,854161,USD,VO
2021-08-31,247.8900,247.9490,247.0700,247.7400,391057,USD,VO
2021-08-30,248.4200,248.6700,247.4000,247.6200,428725,USD,VO
2021-08-27,245.7500,248.3000,245.5800,247.8600,497916,USD,VO
2021-08-26,246.5600,246.8100,244.8201,245.0100,404274,USD,VO
2021-08-25,245.3000,247.2700,244.8625,246.7100,1372612,USD,VO
2021-08-24,244.2900,245.4800,244.1200,245.1700,546244,USD,VO
2021-08-23,242.3500,243.5300,242.3300,243.1800,469052,USD,VO
2021-08-20,239.1500,241.2500,238.8700,241.0500,396525,USD,VO
2021-08-19,237.8100,240.0900,237.6400,239.1600,486435,USD,VO
2021-08-18,241.4300,242.1920,239.4600,239.6000,383974,USD,VO
2021-08-17,242.1400,242.1400,239.7500,241.8100,466788,USD,VO
2021-08-16,243.2100,243.6100,241.9600,243.6000,553450,USD,VO
2021-08-13,244.4900,244.5100,243.8100,244.1500,384203,USD,VO
2021-08-12,243.6200,244.3200,243.1800,244.1500,501574,USD,VO
2021-08-11,243.3600,243.9600,242.3900,243.8800,2980960,USD,VO
2021-08-10,242.9600,243.5900,242.5200,242.8000,485714,USD,VO
2021-08-09,242.4700,243.0400,241.3300,242.4900,369202,USD,VO
2021-08-06,243.0900,243.6100,242.2100,242.6900,476248,USD,VO
2021-08-05,241.3300,242.6200,241.1450,242.6200,367618,USD,VO
2021-08-04,241.1800,241.9000,240.4200,240.5500,702624,USD,VO
2021-08-03,240.9000,241.9400,239.0300,241.9400,608364,USD,VO
2021-08-02,241.9500,242.1128,240.2100,240.3700,1216042,USD,VO
2021-07-30,239.9200,242.0400,239.6300,240.4700,384827,USD,VO
2021-07-29,240.4600,242.2200,240.1500,241.2600,561875,USD,VO
2021-07-28,238.8600,240.3900,237.7800,239.5600,772241,USD,VO
2021-07-27,238.3600,238.5690,236.8300,238.5100,1076509,USD,VO
2021-07-26,239.1600,239.7300,238.4900,239.3700,810198,USD,VO
2021-07-23,238.2000,239.4900,237.4700,239.3500,333817,USD,VO
2021-07-22,237.3300,237.3300,235.9540,237.0900,551575,USD,VO
2021-07-21,236.1900,237.5700,236.1100,237.4300,1287283,USD,VO
2021-07-20,231.0300,235.8200,230.4400,235.0800,1483028,USD,VO
2021-07-19,230.2600,230.9600,228.4700,229.8800,1009157,USD,VO
2021-07-16,235.8800,235.9800,233.1800,233.3700,491226,USD,VO
2021-07-15,234.7900,235.7100,233.3400,234.9100,416721,USD,VO
2021-07-14,237.7000,238.2050,235.2000,235.5800,711156,USD,VO
2021-07-13,239.1100,239.1200,236.6800,236.8400,1384384,USD,VO
2021-07-12,239.0600,239.6050,238.5700,239.5000,529506,USD,VO
2021-07-09,237.2500,239.3700,236.9696,239.3600,436966,USD,VO
2021-07-08,234.8800,236.9350,233.4301,235.9500,641430,USD,VO
2021-07-07,238.4200,238.8096,236.3300,238.2900,705158,USD,VO
2021-07-06,239.2100,239.2100,236.5672,238.1700,504481,USD,VO
2021-07-02,239.1300,239.3299,238.2200,239.1200,581836,USD,VO
2021-07-01,238.1500,238.8000,237.6700,238.5300,504535,USD,VO
2021-06-30,237.6800,237.8700,237.0900,237.3500,462696,USD,VO
2021-06-29,238.5600,238.8000,237.4400,237.8300,428934,USD,VO
2021-06-28,238.5300,238.5300,236.9700,237.9200,520048,USD,VO
2021-06-25,237.4900,238.2500,237.0400,238.2500,381974,USD,VO
2021-06-24,236.4100,237.0300,235.9100,236.7300,399157,USD,VO
2021-06-23,236.0900,236.6100,235.5600,235.7400,523177,USD,VO
2021-06-22,234.7700,236.2800,234.0400,235.7700,484902,USD,VO
2021-06-21,232.0400,234.6500,231.3700,234.5400,637509,USD,VO
2021-06-18,232.3900,232.7300,230.7300,230.7700,562500,USD,VO
2021-06-17,234.6900,235.2028,231.9700,233.7700,476476,USD,VO
2021-06-16,236.0300,236.3400,233.6300,234.6900,509577,USD,VO
2021-06-15,236.6900,236.6900,235.2097,235.9000,557800,USD,VO
2021-06-14,237.0400,237.0900,235.6600,236.5200,312557,USD,VO
2021-06-11,236.3900,236.8300,235.7000,236.7900,332349,USD,VO
2021-06-10,235.8200,236.2300,234.3200,235.7500,300425,USD,VO
2021-06-09,236.4600,236.4600,235.0700,235.0700,375622,USD,VO
2021-06-08,235.6600,236.3884,234.4300,236.1000,613741,USD,VO
2021-06-07,235.3600,235.4400,234.8100,235.1400,378229,USD,VO
2021-06-04,234.6600,235.3100,234.0850,235.1200,391937,USD,VO
2021-06-03,233.3600,234.0700,231.9350,233.5500,425878,USD,VO
2021-06-02,234.8250,235.0675,233.9114,234.5500,398328,USD,VO
2021-06-01,235.4700,235.8500,233.7400,234.6300,481400,USD,VO
2021-05-28,234.4400,234.5500,233.6300,233.9000,375413,USD,VO
2021-05-27,233.3900,233.6700,232.3416,233.2800,361136,USD,VO
2021-05-26,231.6900,232.6100,231.6000,232.5600,388402,USD,VO
2021-05-25,232.9200,233.2400,230.8800,231.2200,431549,USD,VO
2021-05-24,231.3800,232.8900,230.9400,232.1700,410289,USD,VO
2021-05-21,231.1000,232.0367,229.6700,230.0700,341144,USD,VO
2021-05-20,227.5700,230.4900,227.5700,229.7900,408493,USD,VO
2021-05-19,225.0000,227.2900,223.7720,227.2900,619641,USD,VO
2021-05-18,229.6200,230.2772,227.9200,227.9200,386520,USD,VO
2021-05-17,229.0500,229.8500,227.8700,229.3100,487029,USD,VO
2021-05-14,227.1800,230.3500,227.0000,229.8000,461606,USD,VO
2021-05-13,224.1200,226.6600,223.5100,225.5800,1026400,USD,VO
2021-05-12,227.8800,228.4900,222.9200,223.2300,1028857,USD,VO
2021-05-11,227.5000,229.7200,226.3600,229.1200,820820,USD,VO
2021-05-10,232.8500,233.6250,230.8800,230.9400,574337,USD,VO
2021-05-07,230.3900,233.0400,230.3100,232.9100,497342,USD,VO
2021-05-06,230.0200,230.0200,227.4227,229.8600,589458,USD,VO
2021-05-05,231.7200,231.7200,229.6500,230.1200,476000,USD,VO
2021-05-04,230.8300,231.1300,228.1700,230.6400,893129,USD,VO
2021-05-03,233.5600,233.5600,231.7600,232.0100,574704,USD,VO
2021-04-30,232.5300,233.2400,231.4560,232.0300,513541,USD,VO
2021-04-29,234.9200,234.9929,232.1900,234.0500,491837,USD,VO
2021-04-28,233.5700,234.0478,232.8700,233.4300,427950,USD,VO
2021-04-27,234.2500,234.2500,233.0900,233.7500,779076,USD,VO
2021-04-26,233.0700,234.0650,232.9200,233.7800,639698,USD,VO
2021-04-23,229.9900,233.0000,229.9900,232.4600,1331894,USD,VO
2021-04-22,230.6300,231.8800,228.5600,229.3400,671043,USD,VO
2021-04-21,227.0200,230.3200,226.2800,230.2800,688140,USD,VO
2021-04-20,228.6900,229.1800,226.1800,227.3400,765042,USD,VO
2021-04-19,230.2900,230.7300,228.1900,229.3000,749338,USD,VO
2021-04-16,231.6100,231.7800,230.2200,231.0100,547984,USD,VO
2021-04-15,229.5900,230.7799,229.1200,230.5800,1043793,USD,VO
2021-04-14,228.7000,230.2600,228.0400,228.4300,587626,USD,VO
2021-04-13,227.7000,228.8300,227.2000,228.5400,499763,USD,VO
2021-04-12,227.7400,228.0500,226.8000,227.9100,523464,USD,VO
2021-04-09,226.9100,227.8000,226.2700,227.7400,610708,USD,VO
2021-04-08,226.6100,226.9750,225.3500,226.9200,432738,USD,VO
2021-04-07,227.0300,227.1000,225.1300,225.7400,525801,USD,VO
2021-04-06,225.9800,227.5300,225.5825,227.1600,455547,USD,VO
2021-04-05,226.2100,226.3200,225.0800,226.0600,616291,USD,VO
2021-04-01,222.7800,224.5600,222.5900,224.5300,691536,USD,VO
2021-03-31,221.1600,222.7350,220.7635,221.3400,461535,USD,VO
2021-03-30,219.6100,220.7500,218.6800,220.4600,526259,USD,VO
2021-03-29,220.8500,221.7465,218.5800,219.8100,780757,USD,VO
2021-03-26,219.6800,221.9100,217.7500,221.8600,608612,USD,VO
2021-03-25,215.4000,218.8100,213.6510,218.5800,904066,USD,VO
2021-03-24,220.6900,221.0300,217.1700,217.1700,569469,USD,VO
2021-03-23,221.8500,222.3470,218.7500,219.4700,594424,USD,VO
2021-03-22,222.1100,223.6900,221.5300,222.7700,613941,USD,VO
2021-03-19,221.0300,223.0900,219.8468,221.6400,1495511,USD,VO
2021-03-18,223.7400,224.9200,220.8500,221.1500,584691,USD,VO
2021-03-17,223.3600,225.5200,221.7050,225.0400,1266598,USD,VO
2021-03-16,226.3300,226.3300,222.9800,223.7800,613062,USD,VO
2021-03-15,223.8700,226.0900,223.1800,225.8900,483900,USD,VO
2021-03-12,221.8600,223.7100,220.8940,223.7100,789359,USD,VO
2021-03-11,221.1800,223.5200,220.9400,222.6600,707801,USD,VO
2021-03-10,219.3400,220.4200,218.3700,219.3000,966234,USD,VO
2021-03-09,217.8900,219.0583,216.6452,217.5400,892064,USD,VO
2021-03-08,215.7900,218.3099,214.8200,214.9700,719133,USD,VO
2021-03-05,214.0300,215.8000,206.7100,215.3500,1126825,USD,VO
2021-03-04,215.5600,216.3900,208.1000,211.3800,1269907,USD,VO
2021-03-03,219.9900,220.1600,216.0100,216.0700,703784,USD,VO
2021-03-02,222.0700,222.2600,219.6600,219.9000,686970,USD,VO
2021-03-01,220.0000,222.7600,219.9200,222.0300,429773,USD,VO
2021-02-26,217.8500,218.9000,214.1500,216.7800,653586,USD,VO
2021-02-25,223.0100,223.6100,215.7100,216.7500,861975,USD,VO
2021-02-24,220.7500,223.6500,219.7702,223.0900,611380,USD,VO
2021-02-23,219.4100,221.5050,215.0000,220.9800,847073,USD,VO
2021-02-22,222.2900,223.1000,220.7452,220.9100,504663,USD,VO
2021-02-19,222.3200,224.1700,222.3200,223.5100,522699,USD,VO
2021-02-18,220.8900,221.8100,219.4700,221.1500,475271,USD,VO
2021-02-17,222.1400,222.3272,220.0626,222.1800,547491,USD,VO
