Date,Open,High,Low,Close,Volume,Currency,Ticker
2021-11-17,186.0000,186.5430,184.7300,186.2100,204316,USD,TM
2021-11-16,187.0000,188.1800,186.9000,187.4300,228668,USD,TM
2021-11-15,185.0200,185.4596,184.3400,184.3900,177072,USD,TM
2021-11-12,181.9000,184.7500,181.5010,184.4000,290923,USD,TM
2021-11-11,178.4700,179.3300,178.1900,179.0300,122655,USD,TM
2021-11-10,177.4500,179.2900,176.7200,177.3600,202987,USD,TM
2021-11-09,178.2500,178.5000,175.6400,176.3200,221636,USD,TM
2021-11-08,179.5200,180.5600,179.1500,180.4800,204355,USD,TM
2021-11-05,180.9100,181.1800,178.5000,179.2800,176536,USD,TM
2021-11-04,182.0000,182.8400,180.6000,181.4800,171347,USD,TM
2021-11-03,179.9000,181.3600,179.1900,181.0700,163023,USD,TM
2021-11-02,180.0000,180.0000,177.7400,179.6100,166498,USD,TM
2021-11-01,178.1300,179.9800,178.1300,179.9800,218928,USD,TM
2021-10-29,176.2000,176.6900,175.6200,176.5700,164979,USD,TM
2021-10-28,175.2900,176.4800,175.2900,176.4800,181415,USD,TM
2021-10-27,174.8100,175.2900,174.0100,174.0900,205551,USD,TM
2021-10-26,173.6300,174.7850,172.8100,173.2000,145599,USD,TM
2021-10-25,172.8100,172.8100,171.8800,172.2300,247097,USD,TM
2021-10-22,175.0000,175.3400,172.7800,173.4000,206710,USD,TM
2021-10-21,174.0000,175.2000,173.8000,174.0200,218753,USD,TM
2021-10-20,178.6700,178.6700,177.0200,177.7500,160995,USD,TM
2021-10-19,178.8100,178.8500,178.0900,178.6700,197830,USD,TM
2021-10-18,178.0000,179.0000,177.7800,178.5500,207297,USD,TM
2021-10-15,175.5100,176.4500,174.7900,176.2700,203797,USD,TM
2021-10-14,174.6000,175.5900,174.4800,175.5100,157810,USD,TM
2021-10-13,175.9500,176.4900,174.6600,175.7700,325571,USD,TM
2021-10-12,176.8700,177.5700,175.6866,177.1300,250758,USD,TM
2021-10-11,175.3800,176.8500,174.8700,175.1500,209061,USD,TM
2021-10-08,171.4100,172.4600,171.1816,171.9700,153400,USD,TM
2021-10-07,169.1000,170.0000,168.5500,169.4700,212844,USD,TM
2021-10-06,166.5400,167.4700,165.3300,166.9700,462649,USD,TM
2021-10-05,171.9000,172.9400,171.1000,172.1400,184904,USD,TM
2021-10-04,175.1600,175.5400,171.1700,171.8100,381726,USD,TM
2021-10-01,178.1100,178.2600,176.4200,177.6200,241884,USD,TM
2021-09-30,180.6800,181.5400,177.7500,177.7500,403393,USD,TM
2021-09-29,185.1300,187.4500,183.7800,185.4500,238637,USD,TM
2021-09-28,186.0900,186.4000,184.1500,184.8500,197707,USD,TM
2021-09-27,185.0800,186.8600,185.0100,186.5200,221680,USD,TM
2021-09-24,182.6800,183.2300,182.0001,182.5700,128669,USD,TM
