Date,Open,High,Low,Close,Volume,Currency,Ticker
2021-11-30,144.3500,144.5500,142.1300,142.1800,112626,USD,VOOV
2021-11-29,146.6000,146.6000,144.9222,145.6900,88875,USD,VOOV
2021-11-26,145.6300,145.6400,144.2400,144.9600,109947,USD,VOOV
2021-11-24,148.3000,148.7000,148.1850,148.6700,81089,USD,VOOV
2021-11-23,147.8000,148.7000,147.5000,148.6600,64575,USD,VOOV
2021-11-22,147.1600,148.5100,146.9300,147.5000,57641,USD,VOOV
2021-11-19,147.4700,147.4700,146.4300,146.5900,51908,USD,VOOV
2021-11-18,148.5500,148.5500,147.2350,147.8600,56190,USD,VOOV
2021-11-17,148.9900,148.9900,148.2700,148.5000,30070,USD,VOOV
2021-11-16,149.4600,149.8399,149.0900,149.1000,45835,USD,VOOV
2021-11-15,149.6900,149.7100,149.1300,149.3600,41728,USD,VOOV
2021-11-12,149.3300,149.4390,148.7100,149.1900,41718,USD,VOOV
2021-11-11,149.3100,149.3100,148.7400,148.8600,37149,USD,VOOV
2021-11-10,149.3200,150.0580,148.9500,149.1100,55011,USD,VOOV
2021-11-09,149.6800,149.6800,148.9000,149.4400,52802,USD,VOOV
2021-11-08,150.2600,150.3900,149.4100,149.6400,60726,USD,VOOV
2021-11-05,149.2300,150.0776,149.0278,149.5000,64506,USD,VOOV
2021-11-04,149.0700,149.0700,147.6550,148.2200,53394,USD,VOOV
2021-11-03,147.7900,149.0300,147.7500,148.9500,51513,USD,VOOV
2021-11-02,147.8800,148.4300,147.6300,148.1800,66057,USD,VOOV
2021-11-01,147.6100,147.8842,147.2100,147.8400,51776,USD,VOOV
2021-10-29,147.1800,147.5500,146.7200,147.0000,50018,USD,VOOV
2021-10-28,146.6300,147.4000,146.6300,147.4000,49924,USD,VOOV
2021-10-27,148.3300,148.3300,146.2500,146.2500,72053,USD,VOOV
2021-10-26,148.6000,148.8800,148.3096,148.3700,44302,USD,VOOV
2021-10-25,148.5000,148.5989,147.9500,148.3400,38658,USD,VOOV
2021-10-22,147.6300,148.3300,147.4500,148.1600,65577,USD,VOOV
2021-10-21,147.8000,147.8000,147.0706,147.7500,33178,USD,VOOV
2021-10-20,146.8000,147.9500,146.6700,147.8900,66017,USD,VOOV
2021-10-19,146.1100,146.6300,145.8135,146.6000,63813,USD,VOOV
2021-10-18,145.4100,146.0640,144.8000,145.5600,59273,USD,VOOV
2021-10-15,145.8800,146.5000,145.7980,145.9100,46382,USD,VOOV
2021-10-14,144.0100,144.9689,143.7480,144.9500,48418,USD,VOOV
2021-10-13,142.8300,143.0000,141.3844,142.7100,65012,USD,VOOV
2021-10-12,143.3100,143.5179,142.4800,142.8200,44771,USD,VOOV
2021-10-11,144.4400,145.0000,143.0800,143.1200,41764,USD,VOOV
2021-10-08,144.5000,144.6700,144.0748,144.1900,28013,USD,VOOV
2021-10-07,144.1400,145.1681,144.0900,144.2300,63122,USD,VOOV
2021-10-06,141.7900,143.1500,140.8717,143.0400,47325,USD,VOOV
2021-10-05,142.4000,143.7150,142.0300,142.9300,48679,USD,VOOV
2021-10-04,142.4700,143.3890,141.3200,141.9200,99572,USD,VOOV
2021-10-01,141.3500,143.2490,140.4700,142.5400,56422,USD,VOOV
2021-09-30,143.4200,143.4200,140.5400,140.6400,115269,USD,VOOV
2021-09-29,143.0100,143.5400,142.4001,142.9400,54537,USD,VOOV
2021-09-28,144.9100,145.1049,143.1564,143.3500,71807,USD,VOOV
2021-09-27,144.9900,145.8500,144.9200,145.1700,61897,USD,VOOV
2021-09-24,143.9200,144.9000,143.9200,144.4800,42991,USD,VOOV
2021-09-23,142.9100,144.8752,142.8200,144.2500,63233,USD,VOOV
