,SimFinId,Ticker,Fiscal Period,Fiscal Year,Report Date,Publish Date,Restated Date,Source,TTM,Value Check,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
0,243510,JPM,Q1,2020,2020-03-31,2020-05-07,2021-05-04,https://www.sec.gov/Archives/edgar/data/19617/000001961721000292/0000019617-21-000292-index.htm,False,True,5407000000,768656000000,,,0.11348,0.08594,0.00930,0.00077,,,11.01641,0.24484,0.78526,0.78402,9.1369,74.6815,,1.02978,
1,243510,JPM,Q2,2020,2020-06-30,2020-08-03,2021-08-02,https://www.sec.gov/Archives/edgar/data/19617/000001961721000373/0000019617-21-000373-index.htm,False,True,7809000000,765876000000,,,0.17113,0.12895,0.01613,0.00133,,,11.14944,0.23836,1.38641,1.38429,10.75155,76.1964,,1.02526,
2,243510,JPM,Q3,2020,2020-09-30,2020-11-02,2021-11-02,https://www.sec.gov/Archives/edgar/data/19617/000001961721000458/0000019617-21-000458-index.htm,False,True,13910000000,720100000000,,,0.40229,0.30815,0.03325,0.00278,,,10.97315,0.22184,2.92904,2.92429,9.50517,78.31893,,1.04263,
3,243510,JPM,Q4,2020,2020-12-31,2021-02-23,2021-05-04,https://www.sec.gov/Archives/edgar/data/19617/000001961721000292/0000019617-21-000292-index.htm,False,True,16895000000,712283000000,,,0.51053,0.40443,0.04188,0.00346,,,11.11637,0.21044,3.79875,3.7921,9.3928,80.94652,,1.01926,
4,243510,JPM,Q1,2021,2021-03-31,2021-05-04,2021-05-04,https://www.sec.gov/Archives/edgar/data/19617/000001961721000292/0000019617-21-000292-index.htm,False,True,19767000000,829773000000,,,0.54847,0.42928,0.04934,0.00375,,,12.14269,0.22491,4.50659,4.49868,10.49813,81.06426,,1.03888,
5,243510,JPM,Q2,2021,2021-06-30,2021-08-02,2021-08-02,https://www.sec.gov/Archives/edgar/data/19617/000001961721000373/0000019617-21-000373-index.htm,False,True,17100000000,781168000000,,,0.49532,0.37718,0.04014,0.00312,,,11.86465,0.21203,3.74036,3.7338,9.91671,82.49488,,1.01545,
6,243510,JPM,Q3,2021,2021-09-30,2021-11-02,2021-11-02,https://www.sec.gov/Archives/edgar/data/19617/000001961721000458/0000019617-21-000458-index.htm,False,True,16039000000,783321000000,,,0.47597,0.37876,0.03872,0.00299,,,11.95533,0.20846,3.65349,3.64708,9.64601,83.03335,,1.02749,
